variable,n_missing,pct_missing
mental_health_score,32,6.4
hh_income_monthly_nrs,28,5.6
healthcare_access_score,25,5
oop_health_expenditure_nrs,24,4.8
education_level,19,3.8
proximity_hotspot_km,10,2
age,3,0.6
days_ill,2,0.4
respondent_id,0,0
sex,0,0
religion,0,0
ethnicity,0,0
occupation,0,0
urban_rural,0,0
province,0,0
hh_size,0,0
children_under5_present,0,0
elderly_hh_member_present,0,0
chronic_disease_status,0,0
hh_affected_dengue,0,0
num_dengue_cases_hh,0,0
outbreak_intensity,0,0
duration_outbreak_exposure_days,0,0
confirmed_dengue_case_hh,0,0
open_ceiling,0,0
earth_flooring,0,0
dengue_severity,0,0
hospitalised_dengue,0,0
complications_present,0,0
num_hh_members_infected,0,0
death_due_to_dengue_hh,0,0
caregiving_burden_score,0,0
school_work_absenteeism_dengue,0,0
dengue_prevention_knowledge_score,0,0
mosquito_control_measures,0,0
health_info_access,0,0
health_insurance,0,0
env_risk_index,0,0
dengue_infection_status,0,0
hospitalisation_status,0,0
days_illness_recovery,0,0
self_reported_health,0,0
disability_functional_limit,0,0
healthcare_utilisation,0,0
school_absenteeism_days,0,0
work_absenteeism_days,0,0
reduction_social_participation,0,0
social_support_score,0,0
community_cohesion_score,0,0
perceived_stigma_score,0,0
caregiving_responsibility_change,0,0
hh_income_loss_nrs,0,0
direct_medical_expenditure_nrs,0,0
transport_treatment_cost_nrs,0,0
debt_borrowing,0,0
productivity_loss_workdays,0,0
asset_sale_coping,0,0
financial_assistance_received_nrs,0,0
severity_illness_med,0,0
duration_illness_med,0,0
healthcare_seeking_behaviour,0,0
access_diagnosis_treatment,0,0
hh_caregiving_burden_med,0,0
oop_expenditure_med,0,0
knowledge_preventive_practices,0,0
social_support_availability,0,0
govt_ngo_support_received,0,0
