"Characteristics","Yes (%)","No (%)","Chi-square (df)","p-value"
"Age Group",,,"NaN (3)",
"  18-59","199 (53.9%)","170 (46.1%)",,
"  60+","83 (63.4%)","48 (36.6%)",,
"Sex",,,"0.32 (1)","0.571"
"  Female","139 (57.9%)","101 (42.1%)",,
"  Male","143 (55%)","117 (45%)",,
"Education Level",,,"3.94 (4)","0.414"
"  Higher Secondary","46 (49.5%)","47 (50.5%)",,
"  No Formal","46 (58.2%)","33 (41.8%)",,
"  Primary","59 (55.1%)","48 (44.9%)",,
"  Secondary","95 (61.7%)","59 (38.3%)",,
"  University","36 (53.7%)","31 (46.3%)",,
"Religion",,,"0.63 (4)","0.96"
"  Buddhist","23 (51.1%)","22 (48.9%)",,
"  Christian","11 (55%)","9 (45%)",,
"  Hindu","231 (56.9%)","175 (43.1%)",,
"  Muslim","10 (58.8%)","7 (41.2%)",,
"  Other","7 (58.3%)","5 (41.7%)",,
"Ethnicity",,,"11.72 (4)","0.02"
"  Brahmin/Chhetri","92 (57.9%)","67 (42.1%)",,
"  Dalit","45 (63.4%)","26 (36.6%)",,
"  Janajati","98 (55.1%)","80 (44.9%)",,
"  Madhesi","41 (60.3%)","27 (39.7%)",,
"  Other","6 (25%)","18 (75%)",,
"Household Income",,,"3.55 (3)","0.315"
"  Q1 (Lowest)","76 (60.8%)","49 (39.2%)",,
"  Q2","73 (58.4%)","52 (41.6%)",,
"  Q3","71 (56.8%)","54 (43.2%)",,
"  Q4 (Highest)","62 (49.6%)","63 (50.4%)",,
"Occupation",,,"5.44 (7)","0.607"
"  Daily wage","33 (62.3%)","20 (37.7%)",,
"  Farmer","54 (48.2%)","58 (51.8%)",,
"  Government employee","31 (58.5%)","22 (41.5%)",,
"  Housewife","29 (58%)","21 (42%)",,
"  Private employee","43 (59.7%)","29 (40.3%)",,
"  Self-employed","54 (55.1%)","44 (44.9%)",,
"  Student","17 (56.7%)","13 (43.3%)",,
"  Unemployed","21 (65.6%)","11 (34.4%)",,
"Residence",,,"0.03 (1)","0.861"
"  Rural","126 (55.8%)","100 (44.2%)",,
"  Urban","156 (56.9%)","118 (43.1%)",,
"Province",,,"1.66 (6)","0.948"
"  Bagmati","58 (56.9%)","44 (43.1%)",,
"  Gandaki","36 (60%)","24 (40%)",,
"  Karnali","28 (51.9%)","26 (48.1%)",,
"  Koshi","35 (56.5%)","27 (43.5%)",,
"  Lumbini","49 (55.1%)","40 (44.9%)",,
"  Madhesh","52 (54.7%)","43 (45.3%)",,
"  Sudurpashchim","24 (63.2%)","14 (36.8%)",,
