variable,r_class,n_missing,example_value
age,numeric,0,32
sex,factor,0,Female
education_level,factor,0,No Formal
religion,factor,0,Hindu
ethnicity,factor,0,Brahmin/Chhetri
hh_income_monthly_nrs,numeric,0,19531
occupation,factor,0,Farmer
urban_rural,factor,0,Rural
province,factor,0,Koshi
hh_size,numeric,0,9
children_under5_present,factor,0,Yes
elderly_hh_member_present,factor,0,No
chronic_disease_status,factor,0,Yes
hh_affected_dengue,factor,0,No
num_dengue_cases_hh,numeric,0,0
outbreak_intensity,ordered,0,Low
duration_outbreak_exposure_days,numeric,0,37
confirmed_dengue_case_hh,factor,0,No
proximity_hotspot_km,numeric,0,3.86
open_ceiling,factor,0,No
earth_flooring,factor,0,No
dengue_severity,ordered,0,None
hospitalised_dengue,factor,0,No
days_ill,numeric,0,0
complications_present,factor,0,No
num_hh_members_infected,numeric,0,0
death_due_to_dengue_hh,factor,0,No
caregiving_burden_score,numeric,0,0
school_work_absenteeism_dengue,factor,0,No
dengue_prevention_knowledge_score,numeric,0,6.2
mosquito_control_measures,factor,0,No
health_info_access,factor,0,No
health_insurance,factor,0,No
healthcare_access_score,numeric,0,5.8
env_risk_index,numeric,0,2.5
dengue_infection_status,factor,0,No
hospitalisation_status,factor,0,No
days_illness_recovery,numeric,0,0
self_reported_health,ordered,0,Good
mental_health_score,numeric,0,9.7
disability_functional_limit,factor,0,No
healthcare_utilisation,factor,0,No
oop_health_expenditure_nrs,numeric,0,1676
school_absenteeism_days,numeric,0,0
work_absenteeism_days,numeric,0,0
reduction_social_participation,factor,0,No
social_support_score,numeric,0,5.9
community_cohesion_score,numeric,0,5.2
perceived_stigma_score,numeric,0,1.7
caregiving_responsibility_change,factor,0,Increased
hh_income_loss_nrs,numeric,0,0
direct_medical_expenditure_nrs,numeric,0,313
transport_treatment_cost_nrs,numeric,0,996
debt_borrowing,factor,0,No
productivity_loss_workdays,numeric,0,0
asset_sale_coping,factor,0,No
financial_assistance_received_nrs,numeric,0,0
severity_illness_med,ordered,0,None
duration_illness_med,ordered,0,<7 days
healthcare_seeking_behaviour,factor,0,No
access_diagnosis_treatment,factor,0,No
hh_caregiving_burden_med,numeric,0,0
oop_expenditure_med,numeric,0,1676
knowledge_preventive_practices,numeric,0,6.2
social_support_availability,ordered,0,Moderate
govt_ngo_support_received,factor,0,No
age_group,factor,0,18-59
extreme_cost_flag,logical,0,FALSE
